FREQ_tenure,FREQ_MonthlyCharges,FREQ_TotalCharges,charges_deviation,monthly_to_total_ratio,avg_monthly_charges,service_count,has_internet,has_phone,ORIG_proba_gender,ORIG_proba_SeniorCitizen,ORIG_proba_Partner,ORIG_proba_Dependents,ORIG_proba_PhoneService,ORIG_proba_MultipleLines,ORIG_proba_InternetService,ORIG_proba_OnlineSecurity,ORIG_proba_OnlineBackup,ORIG_proba_DeviceProtection,ORIG_proba_TechSupport,ORIG_proba_StreamingTV,ORIG_proba_StreamingMovies,ORIG_proba_Contract,ORIG_proba_PaperlessBilling,ORIG_proba_PaymentMethod,ORIG_proba_tenure,ORIG_proba_MonthlyCharges,ORIG_proba_TotalCharges,pctrank_nonchurner_TC,pctrank_churner_TC,pctrank_orig_TC,zscore_churn_gap_TC,zscore_nonchurner_TC,pctrank_churn_gap_TC,resid_IS_MC,cond_pctrank_IS_TC,cond_pctrank_C_TC,dist_To_ch_q25,dist_To_nc_q25,qdist_gap_To_q25,dist_To_ch_q50,dist_To_nc_q50,qdist_gap_To_q50,dist_To_ch_q75,dist_To_nc_q75,qdist_gap_To_q75,tenure_first_digit,tenure_last_digit,tenure_mod10,tenure_mod12,mc_first_digit,mc_mod10,mc_fractional,tc_mod100,tc_fractional,TE1_CAT_tenure_std,TE1_CAT_tenure_min,TE1_CAT_tenure_max,TE1_CAT_MonthlyCharges_std,TE1_CAT_MonthlyCharges_min,TE1_CAT_MonthlyCharges_max,TE1_CAT_TotalCharges_std,TE1_CAT_TotalCharges_min,TE1_CAT_TotalCharges_max,TE1_gender_std,TE1_gender_min,TE1_gender_max,TE1_SeniorCitizen_std,TE1_SeniorCitizen_min,TE1_SeniorCitizen_max,TE1_Partner_std,TE1_Partner_min,TE1_Partner_max,TE1_Dependents_std,TE1_Dependents_min,TE1_Dependents_max,TE1_PhoneService_std,TE1_PhoneService_min,TE1_PhoneService_max,TE1_MultipleLines_std,TE1_MultipleLines_min,TE1_MultipleLines_max,TE1_InternetService_std,TE1_InternetService_min,TE1_InternetService_max,TE1_OnlineSecurity_std,TE1_OnlineSecurity_min,TE1_OnlineSecurity_max,TE1_OnlineBackup_std,TE1_OnlineBackup_min,TE1_OnlineBackup_max,TE1_DeviceProtection_std,TE1_DeviceProtection_min,TE1_DeviceProtection_max,TE1_TechSupport_std,TE1_TechSupport_min,TE1_TechSupport_max,TE1_StreamingTV_std,TE1_StreamingTV_min,TE1_StreamingTV_max,TE1_StreamingMovies_std,TE1_StreamingMovies_min,TE1_StreamingMovies_max,TE1_Contract_std,TE1_Contract_min,TE1_Contract_max,TE1_PaperlessBilling_std,TE1_PaperlessBilling_min,TE1_PaperlessBilling_max,TE1_PaymentMethod_std,TE1_PaymentMethod_min,TE1_PaymentMethod_max,TE_ng_BG_Contract_InternetService,TE_ng_BG_Contract_PaymentMethod,TE_ng_BG_Contract_OnlineSecurity,TE_ng_BG_Contract_TechSupport,TE_ng_BG_Contract_PaperlessBilling,TE_ng_BG_InternetService_PaymentMethod,TE_ng_BG_InternetService_OnlineSecurity,TE_ng_BG_InternetService_TechSupport,TE_ng_BG_InternetService_PaperlessBilling,TE_ng_BG_PaymentMethod_OnlineSecurity,TE_ng_BG_PaymentMethod_TechSupport,TE_ng_BG_PaymentMethod_PaperlessBilling,TE_ng_BG_OnlineSecurity_TechSupport,TE_ng_BG_OnlineSecurity_PaperlessBilling,TE_ng_BG_TechSupport_PaperlessBilling,TE_ng_TG_Contract_InternetService_PaymentMethod,TE_ng_TG_Contract_InternetService_OnlineSecurity,TE_ng_TG_Contract_PaymentMethod_OnlineSecurity,TE_ng_TG_InternetService_PaymentMethod_OnlineSecurity,Churn
0.012437811,0.00062189053,0.00062189053,22.2,0.03669906,18.714073,4.0,1.0,1.0,0.19295774,0.16354345,0.20538244,0.18559837,0.17971246,0.16666667,0.2556391,0.19197708,0.17275748,0.17206478,0.19821163,0.20790021,0.18681319,0.093851134,0.21291865,0.13953489,0.1875,0.5,0.5,0.14372294,0.15019763,0.14488636,-0.05700147,-1.0217867,0.0064746886,-47.694077,0.16390977799892426,0.1456310749053955,311.11,459.48,148.37003,1325.0,1403.9,78.900024,2757.72,3219.265,461.54492,2,6,6,2,1,8.0,0.58,5.0,0.28,0.4432733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594827,0.0,1.0,0.37960997,0.0,1.0,0.3991628,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.4289193,0.0,1.0,0.40222478,0.0,1.0,0.37728152,0.0,1.0,0.3782128,0.0,1.0,0.40286845,0.0,1.0,0.38098225,0.0,1.0,0.3845303,0.0,1.0,0.27618864,0.0,1.0,0.40814385,0.0,1.0,0.357827,0.0,1.0,0.118320614,0.061728396,0.096345514,0.10309278,0.098648645,0.19911504,0.26774195,0.2747784,0.27356625,0.17207335,0.18117978,0.17708333,0.23512337,0.23512252,0.23847087,0.0942029,0.14552239,0.07189543,0.20186335,0
0.016169155,0.0012437811,0.00062189053,-2.86,0.055614363,92.426315,4.0,1.0,1.0,0.1661891,0.26068377,0.20538244,0.16587678,0.17971246,0.16666667,0.2556391,0.19197708,0.1865828,0.17206478,0.19821163,0.20790021,0.17107584,0.25487646,0.13111888,0.16164383,0.35,0.0,0.5,0.45367965,0.486166,0.45951703,-0.08946583,-0.37366515,0.03248635,31.445925,0.46766915917396545,0.4538361430168152,939.71,791.34,-148.37,74.18,153.08,78.9,1506.9,1968.445,461.54492,1,8,8,6,9,7.0,0.72,56.0,0.1,0.42494065,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38244045,0.0,1.0,0.40664664,0.0,1.0,0.3991628,0.0,1.0,0.38946408,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.4289193,0.0,1.0,0.40222478,0.0,1.0,0.38721424,0.0,1.0,0.3782128,0.0,1.0,0.40286845,0.0,1.0,0.38098225,0.0,1.0,0.3834981,0.0,1.0,0.4392122,0.0,1.0,0.34088996,0.0,1.0,0.3644168,0.0,1.0,0.34623978,0.24370861,0.29327238,0.2892954,0.20146222,0.21182266,0.26774195,0.2747784,0.19551934,0.17256637,0.17503586,0.122262776,0.23512337,0.15357143,0.15246637,0.33231708,0.38660577,0.28291318,0.24561404,0
0.018034825,0.00062189053,0.00062189053,10.7,0.018799921,60.09796,5.0,1.0,1.0,0.1661891,0.16354345,0.15384616,0.16587678,0.17971246,0.16666667,0.12189616,0.122395836,0.1865828,0.204947,0.231454,0.20790021,0.18681319,0.084848486,0.13111888,0.16164383,0.12,0.5,0.5,0.7047619,0.74703556,0.71235794,0.1281169,0.39796954,0.04227364,-10.3778105,0.6749435663223267,0.7303030490875244,2428.9,2280.53,-148.36987,1415.01,1336.11,-78.900024,17.71,479.255,461.545,5,3,3,5,6,1.0,0.03,45.0,0.29,0.39321986,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.38244045,0.0,1.0,0.37960997,0.0,1.0,0.367695,0.0,1.0,0.38946408,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.3389475,0.0,1.0,0.31978294,0.0,1.0,0.38721424,0.0,1.0,0.38149846,0.0,1.0,0.40549585,0.0,1.0,0.38098225,0.0,1.0,0.3845303,0.0,1.0,0.28108495,0.0,1.0,0.34088996,0.0,1.0,0.3644168,0.0,1.0,0.056947608,0.061946902,0.04400978,0.086330935,0.052173913,0.110403396,0.06603774,0.16706444,0.09242619,0.10401891,0.21404682,0.122262776,0.112299465,0.075075075,0.16306484,0.04464286,0.015267176,0.04,0.04411765,1
0.014925373,0.00062189053,0.00062189053,31.9,0.051706545,93.5455,3.0,1.0,1.0,0.19295774,0.16354345,0.15384616,0.18559837,0.17971246,0.20032841,0.2556391,0.19197708,0.17777778,0.17432646,0.105,0.19607843,0.18305084,0.084848486,0.13111888,0.26956522,0.33333334,0.5,0.5,0.48831168,0.513834,0.49289772,-0.09244566,-0.31417552,0.025522321,30.515924,0.49924811720848083,0.48787879943847656,1054.52,906.15,-148.37,40.63,38.27,-2.3600006,1392.09,1853.635,461.54504,1,9,9,7,9,6.0,0.79,70.0,0.91,0.45391056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594827,0.0,1.0,0.37960997,0.0,1.0,0.367695,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.39768133,0.0,1.0,0.4289193,0.0,1.0,0.40222478,0.0,1.0,0.38529354,0.0,1.0,0.39000925,0.0,1.0,0.32185417,0.0,1.0,0.381969,0.0,1.0,0.38506925,0.0,1.0,0.28108495,0.0,1.0,0.34088996,0.0,1.0,0.42645591,0.0,1.0,0.12658228,0.16149068,0.09700428,0.04822335,0.052173913,0.31292516,0.26774195,0.16923077,0.19551934,0.27232796,0.17349398,0.18085106,0.12485137,0.15357143,0.08066971,0.20833333,0.123809524,0.19480519,0.35051546,0
0.018034825,0.0012437811,0.00062189053,34.91,0.020627247,74.064285,2.0,1.0,1.0,0.19295774,0.26068377,0.15384616,0.16587678,0.17971246,0.16666667,0.2556391,0.19197708,0.17777778,0.17432646,0.19821163,0.14975846,0.18681319,0.093851134,0.13111888,0.14971751,0.16,0.5,0.5,0.74285716,0.7826087,0.75,0.13807976,0.5968694,0.03975153,8.605925,0.7563909888267517,0.7605177760124207,2812.76,2664.39,-148.37012,1798.87,1719.97,-78.900024,366.15,95.395,-270.755,4,8,8,0,7,4.0,0.88,29.0,0.15,0.32410187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594827,0.0,1.0,0.40664664,0.0,1.0,0.367695,0.0,1.0,0.38946408,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.4289193,0.0,1.0,0.40222478,0.0,1.0,0.38529354,0.0,1.0,0.39000925,0.0,1.0,0.40286845,0.0,1.0,0.38853443,0.0,1.0,0.3845303,0.0,1.0,0.27618864,0.0,1.0,0.34088996,0.0,1.0,0.38025355,0.0,1.0,0.118320614,0.08813559,0.096345514,0.10309278,0.05894737,0.25480768,0.26774195,0.2747784,0.19551934,0.19633508,0.18786128,0.12190813,0.23512337,0.15357143,0.15246637,0.120300755,0.14552239,0.09150327,0.2777778,0
0.019278606,0.00062189053,0.00062189053,49.68,0.12817602,61.51875,4.0,1.0,1.0,0.1661891,0.16354345,0.20538244,0.18559837,0.17971246,0.20032841,0.12189616,0.122395836,0.17275748,0.17432646,0.19821163,0.14975846,0.18681319,0.25487646,0.21291865,0.13953489,0.1923077,0.5,0.5,0.13939394,0.14229248,0.13991477,-0.05666071,-1.0285901,0.002898544,-8.19781,0.10609480738639832,0.1378413587808609,324.24,472.61,148.37,1338.13,1417.03,78.900024,2770.85,3232.395,461.54492,7,7,7,7,6,3.0,0.21,92.0,0.15,0.39390063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38244045,0.0,1.0,0.37960997,0.0,1.0,0.3991628,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.39768133,0.0,1.0,0.3389475,0.0,1.0,0.31978294,0.0,1.0,0.37728152,0.0,1.0,0.39000925,0.0,1.0,0.40286845,0.0,1.0,0.38853443,0.0,1.0,0.3845303,0.0,1.0,0.4392122,0.0,1.0,0.40814385,0.0,1.0,0.357827,0.0,1.0,0.2001992,0.23316061,0.17906977,0.2892954,0.30132452,0.11479029,0.06603774,0.14790997,0.1607306,0.09255079,0.18117978,0.17708333,0.13546798,0.14360042,0.23847087,0.20087336,0.10902256,0.16444445,0.05970149,0
0.019278606,0.0012437811,0.00062189053,-23.45,0.040722128,47.790386,4.0,1.0,1.0,0.1661891,0.16354345,0.15384616,0.16587678,0.17971246,0.15231788,0.2556391,0.2208589,0.1865828,0.17432646,0.231454,0.20790021,0.18681319,0.25487646,0.13111888,0.13953489,0.2,0.0,0.5,0.32554114,0.37549406,0.33451703,-0.07613695,-0.63976485,0.049952924,-15.634075,0.3548872172832489,0.33680105209350586,426.16,277.79,-148.37,587.73,666.63,78.900024,2020.45,2481.995,461.54517,2,5,5,1,5,0.0,0.64,42.0,0.55,0.43382284,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.38244045,0.0,1.0,0.37960997,0.0,1.0,0.367695,0.0,1.0,0.38946408,0.0,1.0,0.38446864,0.0,1.0,0.3836042,0.0,1.0,0.4289193,0.0,1.0,0.4101613,0.0,1.0,0.38721424,0.0,1.0,0.39000925,0.0,1.0,0.40549585,0.0,1.0,0.38098225,0.0,1.0,0.3845303,0.0,1.0,0.4392122,0.0,1.0,0.34088996,0.0,1.0,0.357827,0.0,1.0,0.34623978,0.23316061,0.2929448,0.3026874,0.20146222,0.19911504,0.27962962,0.26703498,0.19551934,0.18412699,0.16111112,0.112769485,0.26785713,0.16969697,0.16306484,0.28494623,0.35947713,0.23783784,0.25974026,1
0.012437811,0.00062189053,0.00062189053,-8.82,0.015172013,86.2594,2.0,0.0,1.0,0.19295774,0.16354345,0.15384616,0.18559837,0.17971246,0.16666667,0.096666664,0.19197708,0.17777778,0.17432646,0.19821163,0.20790021,0.17107584,0.093851134,0.21291865,0.14971751,0.13333334,0.5,0.5,0.9168831,0.9367589,0.92045456,0.19388783,1.7110268,0.019875765,20.801533,0.9466666579246521,0.9158576130867004,4962.99,4814.62,-148.37012,3949.1,3870.2,-78.90015,2516.38,2054.835,-461.54492,6,6,6,6,8,7.0,0.7,79.0,0.38,0.3902316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594827,0.0,1.0,0.37960997,0.0,1.0,0.367695,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.33197019,0.0,1.0,0.40222478,0.0,1.0,0.38529354,0.0,1.0,0.39000925,0.0,1.0,0.40286845,0.0,1.0,0.38098225,0.0,1.0,0.3834981,0.0,1.0,0.27618864,0.0,1.0,0.40814385,0.0,1.0,0.38025355,0.0,1.0,0.06538462,0.08813559,0.096345514,0.10309278,0.098648645,0.10714286,0.14754099,0.1426146,0.15768194,0.19633508,0.18786128,0.21090047,0.23512337,0.23512252,0.23847087,0.05263158,0.055555556,0.09150327,0.13173653,0
0.010572139,0.00062189053,0.00062189053,49.05,0.022870133,68.56614,2.0,1.0,1.0,0.1661891,0.16354345,0.15384616,0.18559837,0.17971246,0.16666667,0.2556391,0.19197708,0.17777778,0.17432646,0.105,0.14975846,0.17107584,0.25487646,0.21291865,0.13953489,0.23076923,0.5,0.5,0.6761905,0.71936756,0.6839489,0.12218943,0.27963278,0.04317707,2.7459247,0.6917293071746826,0.6762028336524963,2200.52,2052.15,-148.37012,1186.63,1107.73,-78.900024,246.09,707.635,461.545,4,3,3,7,6,9.0,0.02,16.0,0.91,0.41749176,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.38244045,0.0,1.0,0.37960997,0.0,1.0,0.367695,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.37135231,0.0,1.0,0.4289193,0.0,1.0,0.40222478,0.0,1.0,0.38529354,0.0,1.0,0.39000925,0.0,1.0,0.32185417,0.0,1.0,0.38853443,0.0,1.0,0.3834981,0.0,1.0,0.4392122,0.0,1.0,0.40814385,0.0,1.0,0.357827,0.0,1.0,0.34623978,0.23316061,0.29327238,0.17790698,0.30132452,0.19911504,0.26774195,0.16923077,0.27356625,0.17207335,0.08607595,0.17708333,0.12485137,0.23512252,0.14270613,0.28494623,0.38660577,0.27348065,0.20186335,0
0.0074626864,0.00062189053,0.00062189053,22.79,0.043178037,20.60913,3.0,0.0,1.0,0.19295774,0.16354345,0.20538244,0.18559837,0.17971246,0.20032841,0.096666664,0.19197708,0.17777778,0.17432646,0.231454,0.14975846,0.18681319,0.084848486,0.21291865,0.13953489,0.2,0.5,0.5,0.13679653,0.13438736,0.13636364,-0.056189895,-1.0379895,-0.002409175,-46.388466,0.1433333307504654,0.13939394056797028,342.38,490.75,148.37,1356.27,1435.17,78.900024,2788.99,3250.535,461.54492,2,2,2,10,2,0.0,0.51,74.0,0.01,0.4023739,0.0,1.0,0.57735026,0.0,1.0,0.0,0.0,0.0,0.38594827,0.0,1.0,0.37960997,0.0,1.0,0.3991628,0.0,1.0,0.38195807,0.0,1.0,0.38446864,0.0,1.0,0.39768133,0.0,1.0,0.33197019,0.0,1.0,0.40222478,0.0,1.0,0.38529354,0.0,1.0,0.39000925,0.0,1.0,0.40549585,0.0,1.0,0.38853443,0.0,1.0,0.3845303,0.0,1.0,0.28108495,0.0,1.0,0.40814385,0.0,1.0,0.357827,0.0,1.0,0.045751635,0.056603774,0.09700428,0.086330935,0.11097257,0.10119048,0.14754099,0.15635179,0.15768194,0.17207335,0.16111112,0.17708333,0.23739837,0.23512252,0.23684211,0.02247191,0.067567565,0.06185567,0.15337424,0
